PassengerId;Age;Evasions;S;U;B;Tram
0001_01;39.0;FALSE;TRUE;FALSE;FALSE;TRUE
0002_01;24.0;TRUE;FALSE;FALSE;FALSE;TRUE
0003_01;58.0;FALSE;TRUE;FALSE;FALSE;TRUE
0003_02;33.0;FALSE;TRUE;FALSE;FALSE;TRUE
0004_01;16.0;TRUE;FALSE;FALSE;FALSE;TRUE
0005_01;44.0;TRUE;FALSE;FALSE;FALSE;TRUE
0006_01;26.0;TRUE;FALSE;FALSE;FALSE;TRUE
0006_02;28.0;TRUE;FALSE;FALSE;FALSE;FALSE
0007_01;35.0;TRUE;FALSE;FALSE;FALSE;TRUE
0008_01;14.0;FALSE;TRUE;FALSE;FALSE;FALSE
0008_02;34.0;FALSE;TRUE;FALSE;FALSE;FALSE
0008_03;45.0;FALSE;TRUE;FALSE;FALSE;TRUE
0009_01;32.0;FALSE;FALSE;TRUE;FALSE;TRUE
0010_01;48.0;TRUE;FALSE;FALSE;FALSE;TRUE
0011_01;28.0;TRUE;FALSE;FALSE;FALSE;TRUE
0012_01;31.0;TRUE;FALSE;FALSE;FALSE;TRUE
0014_01;27.0;FALSE;FALSE;TRUE;FALSE;TRUE
0015_01;24.0;TRUE;FALSE;FALSE;FALSE;TRUE
0016_01;45.0;FALSE;FALSE;TRUE;FALSE;FALSE
0017_01;0.0;TRUE;FALSE;FALSE;FALSE;TRUE
0017_02;14.0;TRUE;FALSE;FALSE;FALSE;TRUE
0020_01;1.0;TRUE;FALSE;FALSE;FALSE;FALSE
0020_02;49.0;TRUE;FALSE;FALSE;FALSE;FALSE
0020_03;29.0;TRUE;FALSE;FALSE;FALSE;FALSE
0020_04;10.0;TRUE;FALSE;FALSE;FALSE;TRUE
0020_05;1.0;TRUE;FALSE;FALSE;FALSE;FALSE
0020_06;7.0;TRUE;FALSE;FALSE;FALSE;TRUE
0022_01;21.0;FALSE;FALSE;TRUE;FALSE;TRUE
0024_01;62.0;FALSE;TRUE;FALSE;FALSE;FALSE
0025_01;15.0;TRUE;FALSE;FALSE;FALSE;TRUE
0026_01;34.0;FALSE;TRUE;FALSE;FALSE;TRUE
0028_01;43.0;FALSE;FALSE;TRUE;FALSE;TRUE
0030_01;32.0;TRUE;FALSE;FALSE;FALSE;TRUE
0031_01;47.0;FALSE;FALSE;TRUE;FALSE;TRUE
0031_02;2.0;FALSE;FALSE;TRUE;FALSE;TRUE
0031_03;20.0;FALSE;FALSE;TRUE;FALSE;TRUE
0034_01;28.0;FALSE;TRUE;FALSE;FALSE;FALSE
0035_01;23.0;FALSE;FALSE;TRUE;FALSE;TRUE
0036_01;15.0;TRUE;FALSE;FALSE;FALSE;TRUE
0038_01;20.0;TRUE;FALSE;FALSE;FALSE;TRUE
0039_01;30.0;TRUE;FALSE;FALSE;FALSE;FALSE
0041_01;17.0;TRUE;FALSE;FALSE;FALSE;FALSE
0043_01;45.0;FALSE;TRUE;FALSE;FALSE;TRUE
0044_01;55.0;TRUE;FALSE;FALSE;FALSE;FALSE
0044_02;4.0;TRUE;FALSE;FALSE;FALSE;FALSE
0044_03;21.0;TRUE;FALSE;FALSE;FALSE;FALSE
0045_01;21.0;FALSE;FALSE;TRUE;FALSE;TRUE
0045_02;19.0;FALSE;FALSE;TRUE;FALSE;FALSE
0050_01;35.0;TRUE;FALSE;FALSE;FALSE;TRUE
0051_01;56.0;TRUE;FALSE;FALSE;FALSE;TRUE
0052_01;29.0;TRUE;FALSE;FALSE;FALSE;TRUE
0053_01;25.0;TRUE;FALSE;FALSE;FALSE;TRUE
0056_01;2.0;FALSE;TRUE;FALSE;FALSE;TRUE
0056_02;38.0;FALSE;TRUE;FALSE;FALSE;FALSE
0056_03;27.0;FALSE;TRUE;FALSE;FALSE;TRUE
0058_01;36.0;TRUE;FALSE;FALSE;FALSE;FALSE
0061_01;22.0;TRUE;FALSE;FALSE;FALSE;TRUE
0062_01;62.0;TRUE;FALSE;FALSE;FALSE;TRUE
0064_01;15.0;FALSE;FALSE;TRUE;FALSE;FALSE
0064_02;33.0;FALSE;FALSE;FALSE;TRUE;FALSE
0066_01;62.0;TRUE;FALSE;FALSE;FALSE;TRUE
0067_01;0.0;TRUE;FALSE;FALSE;FALSE;FALSE
0067_02;18.0;TRUE;FALSE;FALSE;FALSE;TRUE
0067_03;21.0;TRUE;FALSE;FALSE;FALSE;TRUE
0068_01;29.0;FALSE;FALSE;TRUE;FALSE;TRUE
0069_01;42.0;TRUE;FALSE;FALSE;FALSE;TRUE
0070_01;19.0;TRUE;FALSE;FALSE;FALSE;TRUE
0071_01;17.0;TRUE;FALSE;FALSE;FALSE;TRUE
